room_type,segment,area_m2,ceiling_h,budget,required_lux,total_lumens,fixtures_count,fixture_type,fixture_lm,purpose,country,model_name,price_rub,norm_ref
Концертный зал,administrative,419,8.3,250414,287,152120,14,Прожектор,10405,Концертный зал,Франция,Юпитер NJ16833,13526,СНиП 23-05-95
Парковка,outdoor,1448,0.0,94004,45,65160,6,Прожектор,10365,Парковка,Германия,Oculus FO1616,11401,СП 52.13330.2016
Гостиная,domestic,26,3.0,2863,214,5564,1,Подвесной,3553,Гостиная,Тайвань,LumenPro HJ489,2540,СП 52.13330.2016
Торговый зал,industrial,61,7.7,66371,823,62000,15,Подвесной,3973,Торговый зал,Китай,Osram GL10972,3615,СНиП 23-05-95
Цех (ресторан/столовая),administrative,54,9.0,31461,276,19375,1,Промышленный (High-bay),15034,Цех (ресторан/столовая),Тайвань,ZetaLED SF10721,22551,СП 52.13330.2016
Кухня,domestic,12,2.6,2538,192,2304,1,Потолочный,3280,Кухня,США,LumenPro YQ12758,1804,СП 52.13330.2016
Парковка,outdoor,530,0.0,26476,46,24380,1,Прожектор,15840,Парковка,Франция,SafeExit TQ10873,19008,СП 52.13330.2016
Гостиная,domestic,24,2.9,2507,189,4536,1,Потолочный,3453,Гостиная,Франция,BrightLine UM6469,1899,СП 52.13330.2016
Фойе театра/кинотеатра,administrative,83,6.9,9137,160,15869,5,Потолочный,2752,Фойе театра/кинотеатра,США,ПроСвет AR6266,1376,СП 52.13330.2016
Холодильный склад,industrial,158,7.7,28288,156,30440,1,Прожектор,18292,Холодильный склад,Франция,TechnoLight BI4755,23779,СП 52.13330.2016
Коридор (общественный),outdoor,32,0.0,981,74,2368,1,Настенный линейный,1404,Коридор (общественный),Турция,Oculus EY18237,694,СП 52.13330.2016
Сад/парк,outdoor,2177,0.0,80280,27,58779,8,Парковый фонарь,6760,Сад/парк,Китай,SafeExit HM17183,6895,СП 52.13330.2016
Выставочный зал,administrative,885,9.0,511566,489,562594,208,Встраиваемый,2701,Выставочный зал,Франция,ZetaLED HV1122,1944,СП 52.13330.2016
Концертный зал,administrative,797,6.6,283471,284,267090,67,Подвесной,3929,Концертный зал,Корея,Юпитер KI3186,3320,СНиП 23-05-95
Зал театра,administrative,376,9.7,72447,206,103403,33,Потолочный,3077,Зал театра,Корея,OptiLight SF1543,1692,СНиП 23-05-95
Концертный зал,administrative,567,4.1,288000,274,163902,9,Прожектор,18153,Концертный зал,Турция,MaxLight UD11160,21783,СНиП 23-05-95
Холодильный склад,industrial,81,5.8,17300,155,14312,3,Пылевлагозащищённый (IP65),3785,Холодильный склад,Корея,TechnoLight HM7363,4428,СП 52.13330.2016
Торговый зал,industrial,105,11.7,95724,799,120389,32,Подвесной,3716,Торговый зал,Италия,СветТех IQ10964,2898,СНиП 23-05-95
Цех деревообработки,industrial,763,11.6,596993,275,300049,21,Прожектор,14066,Цех деревообработки,Италия,Osram JJ15154,19692,СП 52.13330.2016
Сад/парк,outdoor,4709,0.0,200034,32,150688,28,Парковый фонарь,5258,Сад/парк,Италия,Андромеда SQ7194,5810,СП 52.13330.2016
Зал кинотеатра,administrative,254,6.2,12535,53,15615,4,Потолочный,3324,Зал кинотеатра,Турция,Юпитер PL9965,2160,СНиП 23-05-95
Библиотека,administrative,57,3.1,11565,319,18273,5,Потолочный,3112,Библиотека,Китай,Юпитер LC4860,2022,СП 52.13330.2016
Выставочный зал,administrative,966,3.1,380870,545,529102,176,Встраиваемый,2991,Выставочный зал,Италия,ПроСвет VV9262,1794,СП 52.13330.2016
Обеденный зал (ресторан/столовая),administrative,127,8.3,26496,209,33576,10,Подвесной,3264,Обеденный зал (ресторан/столовая),Италия,MaxLight MX17056,2545,СНиП 23-05-95
Цех деревообработки,industrial,749,10.4,538368,303,310917,14,Промышленный (High-bay),21488,Цех деревообработки,Германия,СветТех EV17926,32232,СП 52.13330.2016
Улица,outdoor,927,0.0,107335,98,90846,9,Консольный,9792,Улица,Германия,StreetLine MR5452,11848,СП 52.13330.2016
Производственные (точные работы),industrial,312,7.9,249461,436,169359,9,Промышленный (High-bay),17540,Производственные (точные работы),Корея,СветТех CV11185,26310,СП 52.13330.2016
Кафе,administrative,37,11.0,11328,305,15798,5,Потолочный,2753,Кафе,Франция,Юпитер LR14999,1789,СП 52.13330.2016
Коридор (общественный),outdoor,35,0.0,1066,75,2625,1,Настенный линейный,1655,Коридор (общественный),Россия,StreetLine LB8279,819,СП 52.13330.2016
Больница (палата),administrative,14,12.8,2111,214,4464,2,Настенный линейный,1569,Больница (палата),Россия,ZetaLED KQ19260,847,СП 52.13330.2016
Склад,industrial,656,7.1,285834,194,153353,9,Промышленный (High-bay),15776,Склад,Германия,LuxPro VM2945,25636,СП 52.13330.2016
Гостиная,domestic,19,2.8,3041,181,3439,1,Подвесной,3778,Гостиная,Франция,BrightLine WA5946,2701,СП 52.13330.2016
Выставочный зал,administrative,428,5.0,337187,500,235400,20,Прожектор,11269,Выставочный зал,Турция,Юпитер MO9540,14649,СП 52.13330.2016
Балкон/лоджия,domestic,8,2.7,6488,108,864,1,Пылевлагозащищённый (IP65),4821,Балкон/лоджия,Китай,BrightLine ST8527,4772,СП 52.13330.2016
Офис,administrative,43,7.6,17706,535,28296,9,Потолочный,2843,Офис,Франция,OptiLight YE17629,1563,СП 52.13330.2016
Офис,administrative,74,5.4,32799,510,42268,13,Потолочный,3115,Офис,Корея,ProLED JX17712,1713,СП 52.13330.2016
Обеденный зал (ресторан/столовая),administrative,195,11.1,28461,198,54247,18,Потолочный,2980,Обеденный зал (ресторан/столовая),Италия,ПроСвет MS10839,1490,СНиП 23-05-95
Цех деревообработки,industrial,369,4.7,211873,278,111301,5,Промышленный (High-bay),21215,Цех деревообработки,Турция,LuxPro KV9259,34474,СП 52.13330.2016
Гостиная,domestic,39,2.8,2017,193,7527,1,Подвесной,3864,Гостиная,Китай,ЭРА AS12399,2009,СП 52.13330.2016
Зал кинотеатра,administrative,474,3.6,21447,53,25875,10,Потолочный,2581,Зал кинотеатра,Тайвань,ZetaLED FC10862,1548,СНиП 23-05-95
Электромонтажный цех,industrial,343,4.3,410340,384,140273,9,Взрывозащищённый,14098,Электромонтажный цех,Турция,Philips ZW973,31720,СП 52.13330.2016
Коридор (жилой),domestic,14,2.7,1025,28,392,1,Настенный линейный,1913,Коридор (жилой),Тайвань,Зенит KQ18436,860,СП 52.13330.2016
Музейный зал,administrative,487,10.5,342878,432,289278,20,Прожектор,13776,Музейный зал,Италия,MaxLight UZ19562,16531,СП 52.13330.2016
Спальня,domestic,25,2.7,1889,152,3800,1,Потолочный,3272,Спальня,Россия,EcoLight HM12604,1472,СП 52.13330.2016
Лестничная клетка,outdoor,30,0.0,1030,37,1110,1,Настенный линейный,1878,Лестничная клетка,Италия,Плутон XD3300,1014,СП 52.13330.2016
Склад,industrial,120,7.0,37848,198,28512,1,Промышленный (High-bay),16400,Склад,Россия,TechnoLight IF7295,26650,СП 52.13330.2016
Коридор (жилой),domestic,8,2.8,776,27,216,1,Настенный линейный,1588,Коридор (жилой),Турция,Зенит FJ1911,714,СП 52.13330.2016
Концертный зал,administrative,578,5.8,226707,287,189110,10,Прожектор,18761,Концертный зал,США,OptiLight NE4364,20637,СНиП 23-05-95
Склад,industrial,698,7.3,246646,188,159437,8,Прожектор,18930,Склад,Россия,Philips JK9216,28395,СП 52.13330.2016
Цех деревообработки,industrial,455,9.8,342299,298,181690,10,Промышленный (High-bay),17897,Цех деревообработки,Италия,LuxPro CH11543,29082,СП 52.13330.2016
Аварийный выход,outdoor,19,0.0,303,49,931,5,Аварийный,180,Аварийный выход,Турция,Плутон YY9597,54,ГОСТ Р 55710-2013
Коридор (жилой),domestic,30,3.0,733,32,960,1,Настенный линейный,1001,Коридор (жилой),США,LumenPro MU15343,495,СП 52.13330.2016
Конференц-зал,administrative,80,7.6,26977,407,40048,14,Потолочный,2687,Конференц-зал,США,ПроСвет WM18201,1343,СП 52.13330.2016
Улица,outdoor,785,0.0,129134,96,75360,6,Консольный,11022,Улица,Германия,Андромеда GY7506,15761,СП 52.13330.2016
Музейный зал,administrative,492,6.9,206042,362,212834,99,Встраиваемый,2143,Музейный зал,Франция,ZetaLED WR3244,1542,СП 52.13330.2016
Санузел,domestic,7,2.9,5155,53,371,1,Пылевлагозащищённый (IP65),3701,Санузел,Турция,BrightLine QT16741,3663,СП 52.13330.2016
Конференц-зал,administrative,66,9.3,23069,405,35149,12,Потолочный,2890,Конференц-зал,Франция,Юпитер AR7035,1878,СП 52.13330.2016
Обеденный зал (ресторан/столовая),administrative,100,6.0,12959,188,21620,8,Потолочный,2590,Обеденный зал (ресторан/столовая),Корея,ПроСвет HD4265,1295,СНиП 23-05-95
Парковка,outdoor,1056,0.0,87543,54,57024,7,Консольный,8138,Парковка,Тайвань,MarketLED BO6625,8951,СП 52.13330.2016
Обеденный зал (ресторан/столовая),administrative,50,10.5,8889,196,13475,4,Потолочный,3140,Обеденный зал (ресторан/столовая),Китай,OptiLight EM15986,1727,СНиП 23-05-95
